id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
10667,2208,1024,16688,"2018-10-19 17:13:57","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10668,2224,992,16768,"2018-10-19 17:13:58","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10669,2096,1088,16720,"2018-10-19 17:13:58","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10670,2208,960,16768,"2018-10-19 17:13:59","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10671,2160,992,16688,"2018-10-19 17:13:59","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10672,2176,960,16736,"2018-10-19 17:14:00","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10673,1904,1056,16768,"2018-10-19 17:14:00","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10674,2064,1024,16896,"2018-10-19 17:14:01","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10675,2304,992,16704,"2018-10-19 17:14:01","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10676,2176,976,16736,"2018-10-19 17:14:02","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10677,2096,1024,16736,"2018-10-19 17:14:02","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10678,2144,1008,16704,"2018-10-19 17:14:03","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10679,2160,992,16768,"2018-10-19 17:14:03","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10680,2128,1024,16704,"2018-10-19 17:14:04","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10681,2320,960,16720,"2018-10-19 17:14:05","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10682,2064,976,16784,"2018-10-19 17:14:06","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10683,2304,928,16704,"2018-10-19 17:14:06","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10684,2224,976,16720,"2018-10-19 17:14:07","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10685,2240,976,16704,"2018-10-19 17:14:07","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10686,2224,960,16688,"2018-10-19 17:14:08","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10687,2224,896,16704,"2018-10-19 17:14:08","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10688,2272,928,16720,"2018-10-19 17:14:09","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10689,2256,976,16688,"2018-10-19 17:14:09","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10690,2160,944,16720,"2018-10-19 17:14:10","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10691,2000,928,16832,"2018-10-19 17:14:10","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10692,2288,896,16688,"2018-10-19 17:14:11","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10693,2240,992,16672,"2018-10-19 17:14:11","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10694,2096,992,16800,"2018-10-19 17:14:12","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10695,2352,976,16720,"2018-10-19 17:14:12","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10696,2288,1008,16656,"2018-10-19 17:14:13","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10697,2464,1216,16432,"2018-10-19 17:14:13","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10698,2528,688,17024,"2018-10-19 17:14:14","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10699,2608,1168,16624,"2018-10-19 17:14:14","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10700,3216,832,16624,"2018-10-19 17:14:15","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10701,2576,1024,16688,"2018-10-19 17:24:58","work, talking, tired",0,0,0,,nastya,accelerometer
10702,2480,976,16688,"2018-10-19 17:24:59","work, talking, tired",0,0,0,,nastya,accelerometer
10703,2432,960,16720,"2018-10-19 17:24:59","work, talking, tired",0,0,0,,nastya,accelerometer
10704,2544,960,16624,"2018-10-19 17:25:00","work, talking, tired",0,0,0,,nastya,accelerometer
10705,2496,976,16704,"2018-10-19 17:25:00","work, talking, tired",0,0,0,,nastya,accelerometer
10706,2464,1040,16704,"2018-10-19 17:25:01","work, talking, tired",0,0,0,,nastya,accelerometer
10707,2512,1024,16672,"2018-10-19 17:25:01","work, talking, tired",0,0,0,,nastya,accelerometer
10708,2384,1024,16752,"2018-10-19 17:25:02","work, talking, tired",0,0,0,,nastya,accelerometer
10709,2432,1024,16672,"2018-10-19 17:25:02","work, talking, tired",0,0,0,,nastya,accelerometer
10710,2464,1024,16704,"2018-10-19 17:25:03","work, talking, tired",0,0,0,,nastya,accelerometer
10711,2400,992,16736,"2018-10-19 17:25:03","work, talking, tired",0,0,0,,nastya,accelerometer
10712,2496,944,16688,"2018-10-19 17:25:04","work, talking, tired",0,0,0,,nastya,accelerometer
10713,2480,1024,16768,"2018-10-19 17:25:05","work, talking, tired",0,0,0,,nastya,accelerometer
10714,2512,976,16624,"2018-10-19 17:25:05","work, talking, tired",0,0,0,,nastya,accelerometer
10715,2544,1040,16720,"2018-10-19 17:25:06","work, talking, tired",0,0,0,,nastya,accelerometer
10716,2496,1024,16720,"2018-10-19 17:25:06","work, talking, tired",0,0,0,,nastya,accelerometer
10717,2512,992,16720,"2018-10-19 17:25:07","work, talking, tired",0,0,0,,nastya,accelerometer
10718,2496,1040,16656,"2018-10-19 17:25:07","work, talking, tired",0,0,0,,nastya,accelerometer
10719,2496,976,16672,"2018-10-19 17:25:08","work, talking, tired",0,0,0,,nastya,accelerometer
10720,2496,992,16720,"2018-10-19 17:25:08","work, talking, tired",0,0,0,,nastya,accelerometer
10721,2480,944,16736,"2018-10-19 17:25:10","work, talking, tired",0,0,0,,nastya,accelerometer
10722,2512,1024,16720,"2018-10-19 17:25:10","work, talking, tired",0,0,0,,nastya,accelerometer
10723,2496,1024,16704,"2018-10-19 17:25:11","work, talking, tired",0,0,0,,nastya,accelerometer
10724,2464,1024,16688,"2018-10-19 17:25:11","work, talking, tired",0,0,0,,nastya,accelerometer
10725,2528,960,16688,"2018-10-19 17:25:12","work, talking, tired",0,0,0,,nastya,accelerometer
10726,2496,1024,16688,"2018-10-19 17:25:12","work, talking, tired",0,0,0,,nastya,accelerometer
10727,2448,1008,16848,"2018-10-19 17:25:13","work, talking, tired",0,0,0,,nastya,accelerometer
10728,2480,992,16688,"2018-10-19 17:25:13","work, talking, tired",0,0,0,,nastya,accelerometer
10729,2400,976,16720,"2018-10-19 17:25:14","work, talking, tired",0,0,0,,nastya,accelerometer
10730,2480,1008,16656,"2018-10-19 17:25:14","work, talking, tired",0,0,0,,nastya,accelerometer
10731,2464,1024,16688,"2018-10-19 17:25:15","work, talking, tired",0,0,0,,nastya,accelerometer
10732,2464,976,16720,"2018-10-19 17:25:15","work, talking, tired",0,0,0,,nastya,accelerometer
10733,2512,992,16704,"2018-10-19 17:25:16","work, talking, tired",0,0,0,,nastya,accelerometer
10734,2480,976,16736,"2018-10-19 17:25:16","work, talking, tired",0,0,0,,nastya,accelerometer
10735,2368,976,16720,"2018-10-19 17:25:17","work, talking, tired",0,0,0,,nastya,accelerometer
10736,2560,992,16704,"2018-10-19 17:25:17","work, talking, tired",0,0,0,,nastya,accelerometer
10737,2336,1024,16720,"2018-10-19 17:25:18","work, talking, tired",0,0,0,,nastya,accelerometer
10738,2432,1024,16640,"2018-10-19 17:25:18","work, talking, tired",0,0,0,,nastya,accelerometer
10739,2528,976,16688,"2018-10-19 17:25:19","work, talking, tired",0,0,0,,nastya,accelerometer
10740,2512,1008,16720,"2018-10-19 17:25:19","work, talking, tired",0,0,0,,nastya,accelerometer
10741,2544,976,16656,"2018-10-19 17:25:21","work, talking, tired",0,0,0,,nastya,accelerometer
10742,2544,1024,16688,"2018-10-19 17:25:21","work, talking, tired",0,0,0,,nastya,accelerometer
10743,2496,992,16656,"2018-10-19 17:25:22","work, talking, tired",0,0,0,,nastya,accelerometer
10744,2464,1008,16720,"2018-10-19 17:25:22","work, talking, tired",0,0,0,,nastya,accelerometer
10745,2448,1040,16720,"2018-10-19 17:25:23","work, talking, tired",0,0,0,,nastya,accelerometer
10746,2448,992,16656,"2018-10-19 17:25:23","work, talking, tired",0,0,0,,nastya,accelerometer
10747,2496,1024,16704,"2018-10-19 17:25:24","work, talking, tired",0,0,0,,nastya,accelerometer
10748,2480,1024,16656,"2018-10-19 17:25:24","work, talking, tired",0,0,0,,nastya,accelerometer
10749,2464,992,16688,"2018-10-19 17:25:25","work, talking, tired",0,0,0,,nastya,accelerometer
10750,2480,992,16672,"2018-10-19 17:25:25","work, talking, tired",0,0,0,,nastya,accelerometer
10751,2464,1008,16720,"2018-10-19 17:25:26","work, talking, tired",0,0,0,,nastya,accelerometer
10752,2480,992,16688,"2018-10-19 17:25:26","work, talking, tired",0,0,0,,nastya,accelerometer
10753,2448,992,16688,"2018-10-19 17:25:27","work, talking, tired",0,0,0,,nastya,accelerometer
10754,2512,992,16704,"2018-10-19 17:25:27","work, talking, tired",0,0,0,,nastya,accelerometer
10755,2496,976,16672,"2018-10-19 17:25:28","work, talking, tired",0,0,0,,nastya,accelerometer
10756,2464,1056,16704,"2018-10-19 17:25:28","work, talking, tired",0,0,0,,nastya,accelerometer
10757,2480,1008,16720,"2018-10-19 17:25:29","work, talking, tired",0,0,0,,nastya,accelerometer
10758,2448,1024,16624,"2018-10-19 17:25:29","work, talking, tired",0,0,0,,nastya,accelerometer
10759,2464,1024,16752,"2018-10-19 17:25:30","work, talking, tired",0,0,0,,nastya,accelerometer
10760,2464,1008,16656,"2018-10-19 17:25:30","work, talking, tired",0,0,0,,nastya,accelerometer
