id,date_created,label,meta_info,people_id,type_sensor,x,y,z
274,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1192,-4300,5728
275,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1161,-4352,5682
276,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1150,-4344,5694
277,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1162,-4385,5706
278,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1158,-4395,5686
279,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,826,-4050,5436
280,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,848,-4074,5477
281,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,835,-4056,5502
282,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,816,-4052,5522
283,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,807,-4037,5531
284,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,813,-4037,5542
285,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,807,-4038,5478
286,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,805,-4017,5469
287,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,801,-4022,5520
288,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,814,-4019,5473
289,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,796,-4005,5470
290,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,798,-4023,5480
291,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,793,-3997,5492
292,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,797,-4028,5437
293,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,804,-3990,5470
294,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,823,-4012,5450
295,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,812,-3972,5483
296,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,831,-4019,5415
297,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,805,-4020,5439
298,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,780,-4047,5421
299,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,816,-3974,5427
300,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,806,-4010,5481
301,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,830,-4029,5479
302,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,827,-4012,5469
303,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,819,-3982,5453
304,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,833,-3995,5436
305,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,816,-4018,5415
306,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,840,-4003,5450
307,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,823,-4001,5499
308,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,835,-4011,5452
309,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,929,-4274,5483
