id,date_created,label,meta_info,people_id,type_sensor,x,y,z
10673,"2018-10-19 17:14:00","work, talking, tired, angry",,nastya,magnetometer,-835,-6135,5006
10674,"2018-10-19 17:14:01","work, talking, tired, angry",,nastya,magnetometer,-859,-6030,4970
10675,"2018-10-19 17:14:01","work, talking, tired, angry",,nastya,magnetometer,-877,-5994,4998
10676,"2018-10-19 17:14:02","work, talking, tired, angry",,nastya,magnetometer,-876,-6043,4976
10677,"2018-10-19 17:14:02","work, talking, tired, angry",,nastya,magnetometer,-866,-6073,5010
10678,"2018-10-19 17:14:03","work, talking, tired, angry",,nastya,magnetometer,-839,-6060,5020
10679,"2018-10-19 17:14:03","work, talking, tired, angry",,nastya,magnetometer,-843,-6079,4988
10680,"2018-10-19 17:14:04","work, talking, tired, angry",,nastya,magnetometer,-823,-6118,5024
10681,"2018-10-19 17:14:05","work, talking, tired, angry",,nastya,magnetometer,-851,-6115,5018
10682,"2018-10-19 17:14:06","work, talking, tired, angry",,nastya,magnetometer,-848,-6091,5056
10683,"2018-10-19 17:14:06","work, talking, tired, angry",,nastya,magnetometer,-904,-5943,5072
10684,"2018-10-19 17:14:07","work, talking, tired, angry",,nastya,magnetometer,-879,-6025,5051
10685,"2018-10-19 17:14:07","work, talking, tired, angry",,nastya,magnetometer,-869,-6046,5047
10686,"2018-10-19 17:14:08","work, talking, tired, angry",,nastya,magnetometer,-877,-6051,5057
10687,"2018-10-19 17:14:08","work, talking, tired, angry",,nastya,magnetometer,-854,-6033,5026
10688,"2018-10-19 17:14:09","work, talking, tired, angry",,nastya,magnetometer,-876,-6075,5055
10689,"2018-10-19 17:14:09","work, talking, tired, angry",,nastya,magnetometer,-863,-6052,5091
10690,"2018-10-19 17:14:10","work, talking, tired, angry",,nastya,magnetometer,-850,-6085,5050
10691,"2018-10-19 17:14:10","work, talking, tired, angry",,nastya,magnetometer,-855,-5993,5040
10692,"2018-10-19 17:14:11","work, talking, tired, angry",,nastya,magnetometer,-869,-5957,5018
10693,"2018-10-19 17:14:11","work, talking, tired, angry",,nastya,magnetometer,-880,-6002,5028
10694,"2018-10-19 17:14:12","work, talking, tired, angry",,nastya,magnetometer,-875,-6040,4989
10695,"2018-10-19 17:14:12","work, talking, tired, angry",,nastya,magnetometer,-844,-6014,5047
10696,"2018-10-19 17:14:13","work, talking, tired, angry",,nastya,magnetometer,-840,-6032,5053
10697,"2018-10-19 17:14:13","work, talking, tired, angry",,nastya,magnetometer,-852,-6091,5033
10698,"2018-10-19 17:14:14","work, talking, tired, angry",,nastya,magnetometer,-738,-6541,5091
10699,"2018-10-19 17:14:14","work, talking, tired, angry",,nastya,magnetometer,-725,-6820,5111
10700,"2018-10-19 17:14:15","work, talking, tired, angry",,nastya,magnetometer,-777,-6672,5125
10701,"2018-10-19 17:24:58","work, talking, tired",,nastya,magnetometer,-870,-5976,4998
10702,"2018-10-19 17:24:59","work, talking, tired",,nastya,magnetometer,-884,-5958,5085
10703,"2018-10-19 17:24:59","work, talking, tired",,nastya,magnetometer,-875,-5976,5056
10704,"2018-10-19 17:25:00","work, talking, tired",,nastya,magnetometer,-906,-6019,5036
10705,"2018-10-19 17:25:00","work, talking, tired",,nastya,magnetometer,-901,-6002,5020
10706,"2018-10-19 17:25:01","work, talking, tired",,nastya,magnetometer,-907,-6026,5025
10707,"2018-10-19 17:25:01","work, talking, tired",,nastya,magnetometer,-917,-6003,5037
10708,"2018-10-19 17:25:02","work, talking, tired",,nastya,magnetometer,-912,-5965,5042
10709,"2018-10-19 17:25:02","work, talking, tired",,nastya,magnetometer,-933,-5953,5011
