id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
351,5456,1024,15808,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
352,5616,880,15696,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
353,5472,832,15808,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
354,5456,880,15824,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
355,5232,864,15888,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
356,5008,864,16048,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
357,4704,800,16048,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
358,4480,832,16176,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
359,4080,880,16288,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
360,3824,848,16288,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
361,3520,816,16512,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
362,3328,848,16512,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
363,2368,1088,16416,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
364,1504,864,16464,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
365,1904,-32,16992,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
366,1376,656,17360,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
367,1120,1824,16560,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
368,2944,2080,15440,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
369,864,1440,15824,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
370,2320,800,16432,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
371,2304,960,16560,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
372,1984,720,16592,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
373,1456,1072,16624,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
374,1328,960,16784,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
375,1472,784,16592,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
376,1408,864,16752,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
377,1632,848,16624,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
378,1456,976,16736,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
379,1520,928,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
380,1376,1008,16624,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
381,1328,944,16704,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
382,1440,928,16672,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
383,1488,928,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
384,1328,992,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
385,1344,880,16672,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
386,1360,928,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
387,1328,960,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
388,1280,976,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
389,1424,880,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
390,1456,864,16640,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
391,1408,864,16720,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
